StoryID	Title	Summary	Director	Writer	AirDate	SeriesID	Season	Episode	ObjectCharacters	MainCharacters	MinorCharacters
tos0x01	The Cage	The crew of the Enterprise follow a distress signal to the planet Talos IV , where Captain Pike is taken captive by a group of telepathic aliens. The events of this episode are revisited in the Season 1 episodes "The Menagerie, Parts I and II."  	Robert Butler	Gene Roddenberry		tos	0	1		Christopher Pike, Vina, The Keeper	Philip Boyce, Number One, J.M. Colt, Spock, Jose Tyler
tos0x02	Where No Man Has Gone Before  	After the Enterprise attempts to cross the Great Barrier at the edge of the galaxy , crew members Gary Mitchell and Elizabeth Dehner develop "godlike" psychic powers which threaten the safety of the crew.  	James Goldstone	Samuel A. Peeples		tos	0	2			
tos1x01	Where No Man Has Gone Before	After the Enterprise attempts to cross the Great Barrier at the edge of the galaxy , crew members Gary Mitchell and Elizabeth Dehner develop "godlike" psychic powers which threaten the safety of the crew.  	James Goldstone	Samuel A. Peeples	1966-09-22	tos	1	1		James T. Kirk, Gary Mitchell, Elizabeth Dehner	Spock, Mark Piper, Kelso
tos1x02	The Corbomite Maneuver	The Enterprise is menaced by a gigantic alien ship whose commander condemns the crew to death. The alien ship appears all-powerful and the alien commander refuses all attempts at negotiation, forcing Kirk to employ an unorthodox strategy to save the ship.  	Joseph Sargent	Jerry Sohl	1966-11-10	tos	1	2		James T. Kirk, Balok, Dave Bailey	Spock, Leonard McCoy, Hikaru Sulu, Montgomery Scott
tos1x03	Mudd's Women	The Enterprise pursues a vessel and rescues its occupants, interstellar con man Harry Mudd , who is arrested on outstanding charges, and three incredibly beautiful women, his cargo. After Kirk diverts to a mining planet to obtain new dilithium crystals for the Enterprise, Mudd negotiates with the three miners there, exchanging his women for dilithium crystals for his own profit. Finally, Mudd's deception is revealed as the women are, in fact, very plain and only appear beautiful due to taking illegal Venus drugs. Kirk obtains the crystals he needs and takes Mudd back into custody.  	Harvey Hart	Gene Roddenberry	1966-10-13	tos	1	3		James T. Kirk, Harry Mudd, Eve McHuron	Spock, Leonard McCoy, Magda Kovacs, Ruth Bonadventure, Ben Childress
tos1x04	The Enemy Within	While beaming up from planet Alpha 177, a transporter accident splits Captain Kirk into two beings: one "good," who is weak and indecisive, and one "evil," who is overly aggressive and domineering.  	Leo Penn	Richard Matheson	1966-10-06	tos	1	4	Good Kirk	Evil Kirk, Janice Rand	Spock, Leonard McCoy, Hikaru Sulu
tos1x05	The Man Trap	The Enterprise visits planet M-113 for a routine medical inspection of the husband-wife archaeological team stationed there, but the crew finds that the wife has been replaced by a deadly, shape-shifting creature.  	Marc Daniels	George Clayton Johnson	1966-09-08	tos	1	5	Leonard McCoy	James T. Kirk, Robert Crater, Nancy Crater	Spock
tos1x06	The Naked Time	A strange, intoxicating infection, which lowers the crew's emotional inhibitions, spreads throughout the Enterprise. As the madness spreads, the entire ship is endangered.  	Marc Daniels	John D. F. Black	1966-09-29	tos	1	6		James T. Kirk, Kevin Riley	Spock, Leonard McCoy, Montgomery Scott, Hikaru Sulu, Joe Tormalen, Janice Rand, Montgomery Scott
tos1x07	Charlie X	While traveling aboard the Enterprise, a dangerous young man named Charlie Evans terrorizes the crew with his unusual mental powers. This episode serves as the backstory for the unofficial mini-series Star Trek: Of Gods and Men .  	Lawrence Dobkin	Gene Roddenberry	1966-09-15	tos	1	7		James T. Kirk, Charlie Evans, Janice	Spock, Leonard McCoy
tos1x08	Balance of Terror	While investigating a series of destroyed outposts, the Enterprise discovers a lone Romulan vessel with a cloaking device . The Romulans, having never been seen by humans, are revealed to visually resemble Vulcans , casting doubt on Mr. Spock's loyalty as the two ships become locked in a cat-and-mouse battle through space.  	Vincent McEveety	Paul Schneider	1966-12-15	tos	1	8		James T. Kirk, unnamed Romulan commander of TOS1x08	Andrew Stiles, Robert Tomlinson, Angela Martine, Spock, Leonard McCoy, Decius
tos1x09	What Are Little Girls Made Of?	In search of Nurse Chapel's fiancé, renowned exobiologist Roger Korby, the Enterprise visits the icy planet Exo III, where Korby has discovered an ancient machine which allows him to duplicate any living person with an android replacement. Korby plans to use the machine to spread controlled androids throughout the Federation , and replaces Captain Kirk with such a duplicate in an effort to take over the Enterprise .  	James Goldstone	Robert Bloch	1966-10-20	tos	1	9		Christine Chapel, James T. Kirk, Roger Korby, Andrea, Ruk	Brown, Spock
tos1x10	Dagger of the Mind	While on a re-supply mission to a rehabilitation colony for the criminally insane, the Enterprise crew discover that the chief doctor has been using a device which destroys the human mind. Kirk and a female crew member, down on the planet, must deal with the problem up close and personal. Spock performs a mind meld for the first time in this episode.  	Vincent McEveety	S. Bar-David	1966-11-03	tos	1	10		Simon van Gelder, James T. Kirk, Helen Noel, Tristan Adams	Spock, Leonard McCoy
tos1x11	Miri	After discovering what appears to be a duplicate of the planet Earth , Captain Kirk and his landing party find a population ravaged by a strange disease, which only children appear to have survived.  	Vincent McEveety	Adrian Spies	1966-10-27	tos	1	11		James T. Kirk, Miri	Leonard McCoy, Spock, Janice, Jahn
tos1x12	The Conscience of the King	While visiting an old friend, Kirk suspects a Shakespearean actor may actually be the murderous former governor of Tarsus IV where Kirk grew up. Kirk invites the acting troupe aboard the Enterprise in order to investigate, but soon assassination attempts are made on Kirk and another crewman who was an eyewitness to the murders.  	Gerd Oswald	Barry Trivers	1966-12-08	tos	1	12	Kodos the Executioner <Anton Karidian>	James T. Kirk, Lenore Karidian	Thomas Leighton, Riley, Spock, Leonard McCoy
tos1x13	The Galileo Seven	Spock and a scientific party are sent to study the Murasaki 312 quasar aboard the shuttle Galileo. During the survey, the Galileo is forced to make an emergency landing on the planet Taurus II, where the crew fight the planet's dangerous inhabitants. As the crew begin to make repairs, Scotty determines that the shuttle does not have enough fuel to reach orbit carrying all seven passengers, and Spock must contemplate leaving some of his fellow crew behind.  	Robert Gist	Oliver Crawford	1967-01-05	tos	1	13	Spock	James T. Kirk, Ferris	Montgomery Scott, Leonard McCoy, Latimer, Gaetano, Boma, Mears
tos1x14	Court Martial	Captain Kirk is placed on trial for negligence after a crewman is killed during a severe ion storm. Kirk maintains that his actions were proper and should not have led to the officer's death, but the evidence seems strong against him. Will Kirk's crew be able to save the captain from conviction?  	Marc Daniels	Don M. Mankiewicz	1967-02-02	tos	1	14	James T. Kirk	Spock, Benjamin Finney	Areel Shaw, Jame Finney, Samuel T. Cogley, Stone
tos1x15	The Menagerie, Part I	Spock hijacks the Enterprise to take his crippled former captain, Christopher Pike , to the forbidden world of Talos IV . He then demands a court martial where he uses the events of " The Cage " to tell the tale of Pike's captivity on the planet years earlier.  	Marc Daniels	Gene Roddenberry	1966-11-17	tos	1	15	Spock, Christopher Pike	James T. Kirk	Leonard McCoy, José I. Mendez
tos1x16	The Menagerie, Part II	Spock continues detailing the events of " The Cage " to the tribunal. After witnessing the Talosians' capabilities of mental illusion, Kirk realizes that Spock intends to return Pike to the planet to live a life of illusion, unencumbered by his crippled condition.  	Robert Butler	Gene Roddenberry	1966-11-24	tos	1	16	Christopher Pike	Spock, James T. Kirk	José I. Mendez, Vina, The Keeper
tos1x17	Shore Leave	Captain Kirk orders shore leave for the Enterprise crew on a seemingly uninhabited planet in the Omicron Delta system. The landing parties begin to see strange sights, such as a White Rabbit a la Alice in Wonderland , Don Juan , and a sword-wielding samurai . Also, Kirk sees (and fights) an image of Finnegan, a rival from his Starfleet Academy days. Spock discovers that the planet seems to be drawing a large amount of energy from the ship's engines, placing the Enterprise in danger.  	Robert Sparr	Theodore Sturgeon	1966-12-29	tos	1	17		James T. Kirk, Leonard McCoy, Hikaru Sulu, Tonia Barrows	Spock, Finnegan, Ruth, Rodriguez, Angela Martine, Shore Leave Planet caretaker
tos1x18	The Squire of Gothos	The Enterprise discovers a rogue planet drifting through space, inhabited by an eccentric being named Trelane who uses his apparently unlimited power over matter and form to manipulate the crew.  	Don McDougall	Paul Schneider	1967-01-12	tos	1	18	James T. Kirk	Trelane	Leonard McCoy, Spock, Hikaru Sulu, Montgomery Scott, Teresa Ross, Karl Jaeger, Vincent DeSalle
tos1x19	Arena	The Enterprise comes under attack by unknown aliens while investigating the near destruction of the Cestus III colony. While chasing the aliens into unexplored space, both ships are captured by the powerful Metrons , who force Kirk and the alien captain (later identified as a member of the Gorn race) to trial by combat: the winner's vessel will be set free, while the loser's ship will be destroyed.  	Joseph Pevney	Fredric Brown	1967-01-19	tos	1	19	James T. Kirk	Gorn captain	Spock, Leonard McCoy, Harold, the Metron
tos1x20	The Alternative Factor	While orbiting an apparently dead planet, the Enterprise seems to experience a strange moment of "nonexistence." Captain Kirk discovers a man named Lazarus on the planet below, who claims the effect was caused by his "enemy," later revealed to be an insane version of Lazarus from an alternate dimension . The sane version of Lazarus asks for Kirk's help in defeating his counterpart.  	Gerd Oswald	Don Ingalls	1967-03-30	tos	1	20	Lazarus-A	James T. Kirk, Lazarus-B	Spock, Leonard McCoy, Charlene Masters
tos1x21	Tomorrow is Yesterday	After accidentally traveling back in time to 1969, the Enterprise rescues USAF Captain John Christopher from his crippled fighter jet. The crew struggles to return to their own time, while simultaneously returning Christopher to the Air Force, removing his knowledge of the future and all record of contact with the Enterprise .  	Michael O'Herlihy	D. C. Fontana	1967-01-26	tos	1	21		James T. Kirk, John Christopher	Spock, Leonard McCoy, Hikaru Sulu, Fellini
tos1x22	The Return of the Archons	The Enterprise discovers a planetary population controlled by a powerful being called Landru. While investigating, Captain Kirk and his landing party are taken captive and discover that the Enterprise crew will be the next to be "absorbed" into Landru's control.  	Joseph Pevney	Gene Roddenberry	1967-02-09	tos	1	22		James T. Kirk, Spock, Landru, Leonard McCoy, Reger	Hikaru Sulu, Marplon, Montgomery Scott
tos1x23	A Taste of Armageddon	On Eminiar VII, the Enterprise finds a civilization at war with its planetary neighbor. Unable to discern any signs of battle from orbit, Captain Kirk leads a landing party to the surface where he discovers the entire war is fought by computer. Even though the war is simulated, citizens who are listed as virtual casualties still report to termination booths to be killed for real. After the Enterprise is destroyed in an attack simulation, Kirk must fight to keep his crew from death.  	Joseph Pevney	Robert Hammer	1967-02-23	tos	1	23		James T. Kirk, Anan 7, Robert Fox, Spock	Leonard McCoy, Montgomery Scott, Tamura, Mea 3
tos1x24	Space Seed	The Enterprise discovers an ancient sleeper ship , the SS Botany Bay , which escaped from Earth's Eugenics Wars in the late 20th century. The genetically engineered passengers, led by war criminal Khan Noonien Singh , seize control of the Enterprise and attempt to destroy the ship. (This episode serves as the backstory to the second Star Trek film ).  	Marc Daniels	Carey Wilber	1967-02-16	tos	1	24	Khan Noonien Singh	James T. Kirk, Spock, Leonard McCoy, Marla McGivers	Montgomery Scott, Nyota Uhura
tos1x25	This Side of Paradise	Despite exposure to fatal radiation , the Federation colony on Omicron Ceti III appears to be thriving. A landing party from the Enterprise investigates, finding the colony's population to be healthy beyond explanation. Leila Kalomi, an old friend of Mr. Spock, shows the landing party strange flowers that seem to impose a state of pure bliss on all exposed to its spores (even Spock), but at the cost of ambition and self-discipline. Will the Enterprise crew succumb to the effects?  	Ralph Senensky	Nathan Butler and D. C. Fontana	1967-03-02	tos	1	25		James T. Kirk, Spock, Leila Kalomi	Leonard McCoy, Hikaru Sulu, Vincent DeSalle, Elias Sandoval
tos1x26	The Devil in the Dark	Dispatched to the mining colony on Janus VI, the Enterprise is tasked to investigate rumors of a strange, subterranean creature responsible for destruction of equipment and the deaths of fifty miners. Kirk and Spock discover a silicon-based life form , a Horta, which lives in the surrounding rock. After Kirk and his Vulcan first officer find the strange creature, Spock performs a mind meld , discovering the reason behind the Horta's attacks.  	Joseph Pevney	Gene L. Coon	1967-03-09	tos	1	26	mother Horta	James T. Kirk, Spock, Vanderberg	Montgomery Scott, Leonard McCoy, Giotto, Ed Appel, Schmitter
tos1x27	Errand of Mercy	Peace negotiations have collapsed between the Federation and the warlike Klingon Empire . The Enterprise is ordered to protect Organia, a peaceful planet located near the Klingon border. Kirk and Spock beam to the surface to warn the Organians about the Klingons, but soon a Klingon fleet arrives, forcing the Enterprise to abandon the duo on the planet. The natives protect Kirk and Spock, even as Kor , the new Klingon governor, orders mass executions of the Organian people. As both Federation and Klingon fleets converge above the planet, Kirk and Spock execute a daring raid on the Klingon headquarters in an effort to destabilize their control over the planet.  	John Newland	Gene L. Coon	1967-03-23	tos	1	27		James T. Kirk, Spock, Kor, Ayelborne	Hikaru Sulu
tos1x28	The City on the Edge of Forever	After accidentally overdosing on a powerful stimulant, Dr. McCoy becomes unbalanced and disappears through the Guardian of Forever , a newly discovered time portal on a remote planet. Kirk and Spock follow after learning that McCoy somehow changed history. Arriving in the 1930s, the duo meet Edith Keeler, a New York social worker who gives them a place to stay. As the days pass, and McCoy is nowhere to be seen, Kirk finds himself falling in love with Keeler... but Spock discovers that Keeler must die to restore the timeline.  	Joseph Pevney	Harlan Ellison	1967-04-06	tos	1	28		James T. Kirk, Spock, Leonard McCoy, Edith Keeler	Montgomery Scott, Nyota Uhura
tos1x29	Operation -- Annihilate!	The Enterprise arrives at Deneva - the home of Captain Kirk's brother, Sam and his family - and discovers that the entire planet has been infested with large, amoeba -like aliens that have attacked and killed much of the human population. One of these aliens attaches itself to Spock, who volunteers to become a subject in Dr. McCoy's medical tests. Can McCoy and Kirk find a cure in time to save Spock and the remainder of the Denevan population?  	Herschel Daugherty	Steven W. Carabatsos	1967-04-13	tos	1	29		James T. Kirk, Spock, Leonard McCoy	Aurelan Kirk, Peter Kirk, George Samuel Kirk
tos2x01	Catspaw	Two powerful aliens threaten the well-being of the Enterprise and her crew with their magical powers.  	Joseph Pevney	Robert Bloch	1967-10-27	tos	2	1	Korob, Sylvia	James T. Kirk, Spock, Leonard McCoy	Hikaru Sulu, Montgomery Scott, DeSalle, Pavel Chekov, Nyota Uhura
tos2x02	Metamorphosis	A shuttle crew from the Enterprise encounters a castaway (who appears to be Zefram Cochrane , the inventor of warp drive ) and his mysterious alien companion.  	Ralph Senensky	Gene L. Coon	1967-11-10	tos	2	2	Zefram Cochrane	James T. Kirk, Spock, Leonard McCoy,  Nancy Hedford, Companion	Montgomery Scott
tos2x03	Friday's Child	The crew of the Enterprise become entangled in a planet's tribal power struggle.  	Joseph Pevney	D. C. Fontana	1967-12-01	tos	2	3	Leonard McCoy	James T. Kirk, Spock, Kras, Maab, Eleen	Montgomery Scott, Pavel Chekov, Nyota Uhura, Hikaru Sulu, Akaar, Leonard James Akaar
tos2x04	Who Mourns for Adonais?	The crew of the Enterprise are held captive by an alien who claims to be the Greek god Apollo .  	Marc Daniels	Gilbert Ralston	1967-09-22	tos	2	4	Carolyn Palamas, Apollo	James T. Kirk, Montgomery Scott	Spock, Hikaru Sulu, Nyota Uhura, Kyle, Leonard McCoy, Pavel Chekov
tos2x05	Amok Time	When Mr. Spock begins behaving aggressively, Kirk discovers his first officer must return home to Vulcan to be married, or die. Kirk disobeys his orders to save Spock, only to find the unbalanced Vulcan at his throat when the bride forces Spock into a duel – and chooses the captain as her champion.  	Joseph Pevney	Theodore Sturgeon	1967-09-15	tos	2	5	Spock	James T. Kirk	Christine Chapel, T'Pring, T'Pau, Pavel Chekov
tos2x06	The Doomsday Machine	After losing his entire crew to an alien planet-eating machine, Commodore Matthew Decker pulls rank on Kirk in order to play a game of cat-and-mouse with the mechanical adversary. His efforts to destroy the menace place the Enterprise in grave danger. This episode serves as the back story for the Star Trek 25th Anniversary Game Boy game .  	Marc Daniels	Norman Spinrad	1967-10-20	tos	2	6	Matt Decker	James T. Kirk, Spock	Leonard McCoy, Montgomery Scott
tos2x07	Wolf in the Fold	Mr. Scott is implicated in a series of bizarre murders.  	Joseph Pevney	Robert Bloch	1967-12-22	tos	2	7	Montgomery Scott	James T. Kirk, Leonard McCoy, Hengist, Jaris	Spock, Sybo, Morla, Tark, Kara
tos2x08	The Changeling	The crew of the Enterprise deals with Nomad—an indestructible, planet-destroying space probe that thinks Kirk is its creator. Star Trek: The Motion Picture was in part an expansion of this episode.  	Marc Daniels	John Meredyth Lucas	1967-09-29	tos	2	8	James T. Kirk		Nyota Uhura, Spock, Leonard McCoy, Montgomery Scott
tos2x09	The Apple	The crew of the Enterprise visits a mysterious and deadly paradise planet which they discover is controlled by a machine called Vaal.  	Joseph Pevney	Max Ehrlich	1967-10-13	tos	2	9		James T. Kirk, Spock, Leonard McCoy, Akuta	Pavel Chekov, Martha Landon, Montgomery Scott, Makora, Sayana
tos2x10	Mirror, Mirror	A transporter mishap slips Captain Kirk and his companions into a parallel universe , where the Enterprise serves a barbaric Empire instead of the Federation. This episode spun off several plotlines in Deep Space Nine and Enterprise .  	Marc Daniels	Jerome Bixby	1967-10-06	tos	2	10		James T. Kirk, Spock, Montgomery Scott, Leonard McCoy, Nyota Uhura, Kirk (mirror), Spock (mirror)	Sulu (mirror), Chekov (mirror), Marlena Moreau (mirror)
tos2x11	The Deadly Years	Strange radiation exposes the command crew of the Enterprise to the effects of rapid aging.  	Joseph Pevney	David P. Harmon	1967-12-08	tos	2	11		James T. Kirk, Leonard McCoy, Spock, Janet Wallace, George Stocker	Robert Johnson, Elaine Johnson, Arlene Galway, Pavel Chekov
tos2x12	I, Mudd	Captain Kirk and the crew has a second run in with the con man, Harry Mudd , this time finding him as the king of a planet of androids .  	Marc Daniels	Stephen Kandel	1967-11-03	tos	2	12	Harry Mudd	James T. Kirk, Spock, Leonard McCoy, Norman	Nyota Uhura, Montgomery Scott, Pavel Chekov, Stella Mudd
tos2x13	The Trouble with Tribbles	Tribbles – purring, limbless, and fertile – disrupt the exploitation of a disputed planet between the Klingons and Federation.  	Joseph Pevney	David Gerrold	1967-12-29	tos	2	13		James T. Kirk, Spock, Nilz Baris	Pavel Chekov, Leonard McCoy, Montgomery Scott, Lurry, Arne Darvin, Cyrano Jones, Koloth, Korax
tos2x14	Bread and Circuses	Captain Kirk and his companions are forced to fight in gladiatorial games on a planet modeled after the Roman Empire .  	Ralph Senensky	Gene Roddenberry  and  Gene L. Coon	1968-03-15	tos	2	14		James T. Kirk, Spock, Leonard McCoy, R. M. Merik, Claudius Marcus	Montgomery Scott, Septimus, Flavius
tos2x15	Journey to Babel	While transporting dignitaries to an important peace conference the Enterprise is pursued by a mysterious vessel and an assassin is discovered among the passengers.  	Joseph Pevney	D. C. Fontana	1967-11-17	tos	2	15	Spock	James T. Kirk, Sarek	Leonard McCoy, Thelev, Amanda Grayson, Gav
tos2x16	A Private Little War	Captain Kirk must decide how to save a primitive people from the technological interference of the Klingons .  	Marc Daniels	Jud Crucis	1968-02-02	tos	2	16		James T. Kirk, Leonard McCoy, Tyree, Nona	Spock, Krell, Christine Chapel, Dr. M'Benga
tos2x17	The Gamesters of Triskelion	Captain Kirk , Chekhov and Uhura are kidnapped by powerful disembodied aliens and forced to fight in gladiatorial contests for the aliens' gambling entertainment.  	Gene Nelson	Margaret Armen	1968-01-05	tos	2	17	James T. Kirk, Shahna	Nyota Uhura, Pavel Chekov, Galt, Provider 1, Provider 2, Provider 3	Spock, Montgomery Scott, Leonard McCoy, Lars, Tamoon, Kloog, Jana Haines
tos2x18	Obsession	Captain Kirk becomes obsessed with destroying a murderous entity that killed many of the crew of his old ship.  	Ralph Senensky	Art Wallace	1967-12-15	tos	2	18	James T. Kirk	Spock, Leonard McCoy, Garrovick (Ensign)	Pavel Chekov, Garrovick (Captain)
tos2x19	The Immunity Syndrome	The crew of the Enterprise encounters an energy-draining space creature.  	Joseph Pevney	Robert Sabaroff	1968-01-19	tos	2	19		James T. Kirk, Spock, Leonard McCoy	Montgomery Scott
tos2x20	A Piece of the Action	The Enterprise visits a planet with a violent culture based on Americas 1920s prohibition era.  	James Komack	David P. Harmon	1968-01-12	tos	2	20		James T. Kirk, Spock, Leonard McCoy, Bela Okmyx	Montgomery Scott, Jojo Krako
