StoryID	Title	Summary	Director	Writer	AirDate	SeriesID	Season	Episode	ObjectCharacters	MainCharacters	MinorCharacters
tos2x21	By Any Other Name	Beings from the Andromeda Galaxy steal the Enterprise , technically modify it, and attempt to return home.  	Marc Daniels	Jerome Bixby	1968-02-23	tos	2	21	Rojan, Kelinda	James T. Kirk, Spock, Leonard McCoy	Montgomery Scott, Shea, Yeoman Thompson, Drea, Hanar, Tomar
tos2x22	Return to Tomorrow	Telepathic aliens take control of Kirk and Spock's bodies with the intention to build new, mechanized bodies for themselves.  	Ralph Senensky	John Kingsbridge	1968-02-09	tos	2	22	Sargon	James T. Kirk, Spock, Leonard McCoy, Thalassa, Henoch	Mulhall, Montgomery Scott, Christine Chapel
tos2x23	Patterns of Force	The crew of the Enterprise visits a planet dominated by a Nazi culture and at war with its planetary neighbor.  	Vincent McEveety	John Meredyth Lucas	1968-02-16	tos	2	23		James T. Kirk, Spock, Daras, Isak	Leonard McCoy, John Gill, Melakon
tos2x24	The Ultimate Computer	A new computer system causes havoc while being tested aboard the Enterprise .  	John Meredyth Lucas	Laurence N. Wolfe	1968-03-08	tos	2	24	Richard Daystrom	James T. Kirk, M-5 multitronic unit	Leonard McCoy, Spock, Montgomery Scott, Bob Wesley
tos2x25	The Omega Glory	Captain Kirk must battle a deadly virus and a treacherous fellow starship captain to stop a meaningless intertribal war.  	Vincent McEveety	Gene Roddenberry	1968-03-01	tos	2	25	Ron Tracy	James T. Kirk, Cloud William	Leonard McCoy, Spock, Wu
tos2x26	Assignment: Earth	During a historical research mission in 1968, the Enterprise encounters Gary Seven , a human from the future who appears to be attempting to alter history.  	Marc Daniels	Gene Roddenberry  and  Art Wallace	1968-03-29	tos	2	26	Gary Seven	James T. Kirk, Spock	Montgomery Scott, Roberta Lincoln
tos3x01	Spectre of the Gun	For trespassing on an alien world, Captain Kirk and his companions are forced to re-enact the famous shoot-out at the O.K. Corral with themselves cast as the losing side.  	Vincent McEveety	Lee Cronin	1968-10-25	tos	3	1		James T. Kirk, Spock, Leonard McCoy, Montgomery Scott, Pavel Chekov, Morgan Earp	Sylvia, Wyatt Earp, Doc Holliday
tos3x02	Elaan of Troyius	Captain Kirk hosts a spoiled princess , who must bring peace to a star system at war.  	John Meredyth Lucas	John Meredyth Lucas	1968-12-20	tos	3	2		James T. Kirk, Elaan of Troyius	Petri, Kryton
tos3x03	The Paradise Syndrome	A mysterious alien device on a planet with a predominantly American Indian culture erases Captain Kirk's memory, and he begins a life with them as a member of their tribe.  	Jud Taylor	Margaret Armen	1968-10-04	tos	3	3		James T. Kirk, Spock, Leonard McCoy, Miramanee	Salish, Montgomery Scott, medicine man
tos3x04	The Enterprise Incident	The crew of the Enterprise attempts to steal a Romulan cloaking device.  	John Meredyth Lucas	D. C. Fontana	1968-09-27	tos	3	4		James T. Kirk, Spock, unnamed Romulan commander of TOS3x04	Tal, Montgomery Scott
tos3x05	And the Children Shall Lead	The crew of the Enterprise rescues a group of children stranded on a planet, along with their evil "imaginary" friend.  	Marvin Chomsky	Edward J. Lakso	1968-10-11	tos	3	5		James T. Kirk, Spock, Tommy Starnes, Gorgon	Leonard McCoy, Mary, Steve, Don
tos3x06	Spock's Brain	Captain Kirk pursues aliens who have stolen Spock's brain.  	Marc Daniels	Lee Cronin	1968-09-20	tos	3	6	Spock	Krik, Leonard McCoy, Montgomery Scott, Eymorg leader	Pavel Chekov
tos3x07	Is There in Truth No Beauty?	The Enterprise travels with an alien ambassador who must travel inside a special black case because his appearance causes insanity.  	Ralph Senensky	Jean Lisette Aroeste	1968-10-18	tos	3	7	Miranda Jones	James T. Kirk, Spock, Larry Marvick, Kollos	Montgomery Scott
tos3x08	The Empath	While visiting a doomed planet, the landing party is subject to torturous experiments to test an empathic race.  	John Erman	Joyce Muskat	1968-12-06	tos	3	8	Gem	James T. Kirk, Spock, Leonard McCoy, Thann, Lal (Vian)	Montgomery Scott
tos3x09	The Tholian Web	Captain Kirk is caught between dimensions while the Enterprise is trapped by an energy draining web spun by mysterious aliens.  	Herb Wallerstein	Judy Burns and Chet Richards	1968-11-15	tos	3	9	James T. Kirk	Spock, Leonard McCoy	Montgomery Scott, Pavel Chekov, Commander Loskene, Nyota Uhura
tos3x10	For the World is Hollow and I Have Touched the Sky	As McCoy discovers he is dying of an incurable disease, the crew of the Enterprise rush to stop an asteroid from colliding with a Federation world, only to discover that the asteroid is, in fact, a disguised alien vessel. They find an entire civilization living in the ship who believe they are actually on a planet and a dictatorial "Oracle" who forbids any attempt to discover the truth.  	Tony Leader	Rik Vollaerts	1968-11-08	tos	3	10	Leonard McCoy	James T. Kirk, Spock, Natira	Christine Chapel, Fabrini old man
tos3x11	Day of the Dove	An alien energy-based life form that feeds on negative emotions (such as fear, anger, hatred) drives the crew of the Enterprise into brutal conflict with the Klingons .  	Marvin Chomsky	Jerome Bixby	1968-11-01	tos	3	11		James T. Kirk, Spock, Kang, Montgomery Scott	Mara, Pavel Chekov, Leonard McCoy
tos3x12	Plato's Stepchildren	The crew of the Enterprise encounters an ageless and mischievous race of psychic humanoids who claim to have organized their society around Ancient Greek ideals.  	David Alexander	Meyer Dolinsky	1968-11-22	tos	3	12	Alexander	James T. Kirk, Leonard McCoy, Spock, Parmen	Nyota Uhura, Christine Chapel, Philana
tos3x13	Wink of an Eye	Invisible "time-accelerated" aliens take over the Enterprise and attempt to abduct the crew for use as "genetic stock".  	Jud Taylor	Lee Cronin	1968-11-29	tos	3	13		James T. Kirk, Spock, Deela	Leonard McCoy, Montgomery Scott, Rael
tos3x14	That Which Survives	The crew of the Enterprise visits an abandoned outpost guarded by a mysterious computer.  	Herb Wallerstein	Michael Richards	1969-01-24	tos	3	14		James T. Kirk, Spock, Losira (hologram)	Leonard McCoy, Hikaru Sulu, D'Amato, Montgomery Scott
tos3x15	Let That Be Your Last Battlefield	The Enterprise picks up the last two survivors of a war-torn planet who are still committed to destroying each other aboard the ship.  	Jud Taylor	Lee Cronin	1969-01-10	tos	3	15	Bele, Lokai	James T. Kirk	Spock, Leonard McCoy
tos3x16	Whom Gods Destroy	Captain Kirk visits a mental health facility and confronts an insane starship captain who believes he is destined to control the universe .  	Herb Wallerstein	Lee Erwin and Jerry Sohl	1969-01-03	tos	3	16		James T. Kirk, Garth of Izar	Spock, Montgomery Scott, Leonard McCoy, Donald Cory, Marta
tos3x17	The Mark of Gideon	An overpopulated race of aliens abduct Kirk to solve their problem.  	Jud Taylor	George F. Slavin and Stanley Adams	1969-01-17	tos	3	17		James T. Kirk, Odona	Spock, Montgomery Scott, Hodin
tos3x18	The Lights of Zetar	Strange, energy-based alien life forms threaten the Memory Alpha station and the Enterprise crew.  	Herb Kenwith	Jeremy Tarcher and Shari Lewis	1969-01-31	tos	3	18	Montgomery Scott, Mira Romaine	James T. Kirk	Spock, Leonard McCoy
tos3x19	The Cloud Minders	Kirk races against time to acquire plague-fighting minerals from a world in the midst of a civil uprising.  	Jud Taylor	David Gerrold and Oliver Crawford	1969-02-28	tos	3	19		James T. Kirk, Spock, Vanna, Plasus	Droxine, Leonard McCoy
tos3x20	The Way to Eden	The Enterprise is hijacked by a criminal doctor and his loyal, hippie -like followers who are attempting to find paradise.  	David Alexander	Michael Richards and Arthur Heinemann	1969-02-21	tos	3	20		James T. Kirk, Spock, Sevrin	Leonard McCoy, Montgomery Scott, Pavel Chekov, Irina Galiulin, Adam
tos3x21	Requiem for Methuselah	The crew of the Enterprise encounters an immortal human who lives as a recluse on his own planet.  	Murray Golden	Jerome Bixby	1969-02-14	tos	3	21		James T. Kirk, Spock, Leonard McCoy, Flint, Rayna Kapec	
tos3x22	The Savage Curtain	Aliens force Kirk and Spock to battle illusionary villains in a test of good versus evil.  	Herschel Daugherty	Gene Roddenberry	1969-03-07	tos	3	22		James T. Kirk, Spock, Abraham Lincoln, Surak, Yarnek	Philip Green, Khaless, Zora, Ghengis Khan
