StoryID	Setting	Comment	Capacity
tos0x01	Enterprise bridge		
tos0x01	Enterprise Pike's quarters		
tos0x01	Enterprise transporter room		
tos0x01	Enterprise briefing room		
tos0x01	Talosian control room		
tos0x01	castle exterior		
tos0x01	countryside		
tos0x01	poolside harem		
tos0x01	shanty town		
tos0x01	fiery pit		
tos0x01	Enterprise corridor		
tos0x01	rocky landscape		
tos1x01	Enterprise briefing room		
tos1x01	Enterprise transporter room		
tos1x01	Enterprise turbolift		
tos1x01	Enterprise bridge		
tos1x01	Enterprise sickbay		
tos1x01	Delta Vega control room		
tos1x01	Delta Vega brig		
tos1x01	Enterprise recreation room		
tos1x01	rocky wasteland		
tos1x01	alien landscape		
tos1x02	Enterprise bridge		
tos1x02	Enterprise sickbay		
tos1x02	Enterprise corridor		
tos1x02	Enterprise turbolift		
tos1x02	Enterprise Kirk's quarters		
tos1x02	Enterprise briefing room		
tos1x02	Balok's ship captain's quarters		bedroom
tos1x03	Enterprise bridge		
tos1x03	Enterprise transporter room		
tos1x03	Enterprise corridor		
tos1x03	Enterprise Kirk's quarters		
tos1x03	Enterprise Mudd's quarters		
tos1x03	miner's encampment		
tos1x03	rocky wasteland		
tos1x03	shack interior		
tos1x03	Enterprise turbolift		
tos1x04	rocky wasteland		
tos1x04	Enterprise transporter room		
tos1x04	Enterprise corridor		
tos1x04	Enterprise Kirk's quarters		
tos1x04	Enterprise sickbay		
tos1x04	Enterprise Janice's quarters		
tos1x04	Enterprise turbolift		
tos1x04	Enterprise bridge		
tos1x04	Enterprise briefing room		
tos1x04	Enterprise engineering		
tos1x05	desert landscape		
tos1x05	Crater's living room		
tos1x05	Enterprise bridge		
tos1x05	Enterprise sickbay		
tos1x05	Enterprise transporter room		
tos1x05	Enterprise turbolift		
tos1x05	Enterprise corridor		
tos1x05	Enterprise arboretum		
tos1x05	Enterprise McCoy's quarters		
tos1x05	ancient desert ruins		
tos1x05	Enterprise briefing room		
tos1x06	Psi 2000 control room		
tos1x06	Enterprise transporter room		
tos1x06	Enterprise bridge		
tos1x06	Enterprise sickbay		
tos1x06	Enterprise briefing room		
tos1x06	Enterprise recreation room		
tos1x06	Enterprise corridor		
tos1x06	Enterprise engineering		
tos1x06	Enterprise turbolift		
tos1x06	frozen wasteland		
tos1x06	Enterprise Jefferies tube		
tos1x07	Enterprise transporter room		
tos1x07	Enterprise sickbay		
tos1x07	Enterprise corridor		
tos1x07	Enterprise bridge		
tos1x07	Enterprise recreation room		
tos1x07	Enterprise Kirk's quarters		
tos1x07	Enterprise gymnasium		
tos1x07	Enterprise briefing room		
tos1x07	Enterprise Rand's quarters		
tos1x07	Enterprise brig		
tos1x08	Enterprise ship's chapel		
tos1x08	Enterprise corridor		
tos1x08	Enterprise bridge		
tos1x08	Enterprise sickbay		
tos1x08	Enterprise engineering		
tos1x08	Enterprise phaser control		
tos1x08	Romulan vessel bridge		
tos1x08	Enterprise briefing room		
tos1x08	Enterprise Kirk's quarters		
tos1x09	Enterprise bridge		
tos1x09	Enterprise transporter room		
tos1x09	cavern entrance		
tos1x09	cavern		
tos1x09	Korby's study		
tos1x09	Korby's dining room		
tos1x09	alien lab		
tos1x09	bedroom		
tos1x09	frozen wasteland		
tos1x09	rocky ledge		
tos1x10	Enterprise transporter room		
tos1x10	Enterprise bridge		
tos1x10	Enterprise corridor		
tos1x10	Enterprise sickbay		
tos1x10	building entrance		
tos1x10	Enterprise turbolift		
tos1x10	Adams' study		
tos1x10	treatment room		
tos1x10	Tantalus penal colony Kirk's quarters		
tos1x10	Enterprise Kirk's quarters		
tos1x10	Tantalus penal colony Noel's quarters		
tos1x10	control room		
tos1x10	ventilation duct		
tos1x11	Enterprise bridge		
tos1x11	American 1960s era city street		
tos1x11	American 1960s era derelict house		
tos1x11	American 1960s era alleyway		
tos1x11	laboratory		
tos1x11	derelict toy shop		
tos1x11	schoolroom		
tos1x12	theater		
tos1x12	Leighton's living room		
tos1x12	Leighton's banquet room		
tos1x12	Enterprise briefing room		
