StoryID	Setting	Comment	Capacity
tos1x12	countryside		
tos1x12	Enterprise transporter room		
tos1x12	Enterprise sickbay		
tos1x12	Enterprise observation deck		
tos1x12	Enterprise corridor		
tos1x12	Enterprise engineering		
tos1x12	Enterprise recreation room		
tos1x12	Enterprise McCoy's office		
tos1x12	Enterprise Kirk's quarters		
tos1x12	Enterprise Karidan's quarters		
tos1x12	Enterprise theater		
tos1x12	xeric scrubland		
tos1x13	Enterprise bridge		
tos1x13	shuttlecraft		
tos1x13	cliff face		
tos1x13	Enterprise hangar deck		
tos1x13	rocky wasteland		
tos1x14	Starbase 11 office		
tos1x14	Enterprise bridge		
tos1x14	Starbase 11 bar		
tos1x14	Starbase 11 Kirk's quarters		
tos1x14	courtroom		
tos1x14	Enterprise briefing room		
tos1x14	Starbase 11 corridor		
tos1x14	Enterprise engineering		
tos1x14	Enterprise Jefferies tube		
tos1x14	futuristic cityscape		
tos1x15	Starbase 11 sickbay		
tos1x15	Starbase 11 Pike's quarters		
tos1x15	Starbase 11 Mendez' office		
tos1x15	Starbase 11 computer center		
tos1x15	Enterprise bridge		
tos1x15	shuttlecraft		
tos1x15	Enterprise transporter room		
tos1x15	Enterprise hearing room		
tos1x15	Enterprise Pike's quarters		
tos1x15	futuristic cityscape		
tos1x15	Enterprise Spock's quarters		
tos1x16	Enterprise hearing room		
tos1x16	Enterprise briefing room		
tos1x16	Talosian control room		
tos1x16	castle exterior		
tos1x16	holding cell		
tos1x16	badlands		
tos1x16	countryside		
tos1x16	Enterprise transporter room		
tos1x16	poolside harem		
tos1x16	shanty town		
tos1x16	fiery pit		
tos1x17	Enterprise bridge		
tos1x17	jungle clearing		
tos1x17	Enterprise Kirk's quarters		
tos1x17	rocky outcrop		
tos1x17	xeric scrubland		
tos1x18	Enterprise bridge		
tos1x18	Enterprise transporter room		
tos1x18	woodland		
tos1x18	Trelane's drawing room		
tos1x18	courtroom		
tos1x18	castle exterior		
tos1x19	Enterprise transporter room		
tos1x19	Enterprise bridge		
tos1x19	Enterprise sickbay		
tos1x19	Enterprise Kirk's quarters		
tos1x19	smoldering ruins		
tos1x19	xeric scrubland		
tos1x20	Enterprise bridge		
tos1x20	xeric scrubland		
tos1x20	Enterprise Kirk's quarters		
tos1x20	Enterprise sickbay		
tos1x20	Enterprise recreation room		
tos1x20	Enterprise corridor		
tos1x20	Enterprise engineering		
tos1x20	Enterprise briefing room		
tos1x20	Enterprise transporter room		
tos1x21	US Air Force base		
tos1x21	US Air Force base radar room		
tos1x21	Enterprise bridge		
tos1x21	jet cockpit		
tos1x21	Enterprise transporter room		
tos1x21	Enterprise turbolift		
tos1x21	Enterprise corridor		
tos1x21	Enterprise Kirk's quarters		
tos1x21	Enterprise engineering		
tos1x21	Enterprise sickbay		
tos1x21	Enterprise briefing room		
tos1x21	US Air Force base photography lab		
tos1x21	US Air Force base guard room		
tos1x21	US Air Force base photographic darkroom		
tos1x22	American 19th century era city street		
tos1x22	Enterprise bridge		
tos1x22	Enterprise transporter room		
tos1x22	boarding house corridor		
tos1x22	boarding room		
tos1x22	drawing room		
tos1x22	derelict room		
tos1x22	prison cell		
tos1x22	absorption chamber		
tos1x22	great hall		
tos1x23	Enterprise bridge		
tos1x23	futuristic cityscape		
tos1x23	corridor		
tos1x23	Eminiar VII council chamber		
tos1x23	Eminiar VII control room		
tos1x23	guest quarters		
tos1x23	Eminiar VII Anan's living room		
tos1x23	Eminiar VII computer room		
tos1x24	Enterprise bridge		
tos1x24	Enterprise McGivers' quarters		
tos1x24	Enterprise transporter room		
tos1x24	Botany Bay cryonic chamber		
tos1x24	Enterprise sickbay		
tos1x24	Enterprise officer's mess		
tos1x24	Enterprise Khan's quarters		
tos1x24	Enterprise briefing room		
tos1x24	Enterprise engineering		
tos1x24	Enterprise decompression chamber		
tos1x24	Enterprise corridor		
tos1x25	Enterprise bridge		
tos1x25	barn exterior		
tos1x25	farmhouse interior		
tos1x25	drawing room		
tos1x25	countryside		
tos1x25	Enterprise corridor		
tos1x25	Enterprise Kirk's quarters		
tos1x25	Enterprise transporter room		
tos1x25	vegetable garden		
tos1x25	lawn		
tos1x26	mining tunnel		
tos1x26	Janus VI Vanderberg's office		
tos1x26	Janus VI reactor room		
tos1x26	Enterprise bridge		
tos1x26	cavern		
tos1x27	Enterprise bridge		
tos1x27	medieval village		
tos1x27	council chamber		
tos1x27	Organia Kor's office		
tos1x27	town square		
tos1x27	dungeon		
tos1x28	Enterprise bridge		
tos1x28	Enterprise transporter room		
tos1x28	American 1930s era city street		
tos1x28	cellar		
tos1x28	canteen		
tos1x28	boarding room		
tos1x28	soup kitchen back room		
tos1x28	ancient ruins		
tos1x28	rocky wasteland		
tos1x29	Enterprise bridge		
tos1x29	Enterprise transporter room		
tos1x29	futuristic cityscape		
tos1x29	laboratory		
tos1x29	Enterprise sickbay		
tos1x29	courtyard		
tos1x29	Enterprise briefing room		
tos1x29	Enterprise Kirk's quarters		
tos1x29	Enterprise bio-lab		
tos2x01	Enterprise bridge		
tos2x01	Enterprise transporter room		
tos2x01	rocky wasteland		
tos2x01	castle drawbridge		
tos2x01	castle corridor		
tos2x01	dungeon		
tos2x01	Pyris VII throne room		
tos2x02	shuttlecraft		
tos2x02	rocky wasteland		
tos2x02	Cochrane's living room		
tos2x02	Enterprise bridge		
tos2x03	Enterprise briefing room		
tos2x03	nomadic encampment		
tos2x03	tent		
tos2x03	Enterprise bridge		
tos2x03	hillside		
tos2x03	cavern		
tos2x03	cavern entrance		
tos2x03	xeric scrubland		
tos2x03	mountainside		
tos2x04	Enterprise bridge		
tos2x04	temple garden		
tos2x04	woodland		
tos2x04	Greek temple		
tos2x05	Enterprise corridor		
tos2x05	Enterprise Spock's quarters		
tos2x05	Enterprise bridge		
tos2x05	Enterprise Kirk's quarters		
tos2x05	Enterprise turbolift		
tos2x05	Enterprise sickbay		
tos2x05	desert landscape		
tos2x06	Enterprise bridge		
tos2x06	Constellation corridor		
tos2x06	Constellation engineering		
tos2x06	Constellation meeting room		
tos2x06	Constellation auxiliary control		
tos2x06	Enterprise transporter room		
tos2x06	shuttlecraft		
tos2x06	Enterprise Jefferies tube		
tos2x07	Argelius II bar		
tos2x07	Argelius II city alleyway		
tos2x07	Argelius II Jaris' living room		
tos2x07	séance room		
tos2x07	Enterprise bridge		
tos2x07	cellar		
tos2x07	Enterprise briefing room		courtroom
tos2x07	Enterprise corridor		
tos2x07	Enterprise turbolift		
tos2x07	Enterprise transporter room		
tos2x07	courtroom		
tos2x08	Enterprise bridge		
tos2x08	Enterprise transporter room		
tos2x08	Enterprise auxiliary control		
tos2x08	Enterprise corridor		
tos2x08	Enterprise briefing room		
tos2x08	Enterprise sickbay		
tos2x08	Enterprise brig		
tos2x08	Enterprise engineering		
tos2x09	jungle clearing		
tos2x09	Enterprise bridge		
tos2x09	stone age village		
tos2x09	cavern entrance		
tos2x09	hut		
tos2x09	Enterprise corridor		
tos2x09	xeric scrubland		
tos2x10	woodland glade		
tos2x10	Enterprise bridge		
tos2x10	Enterprise transporter room		
tos2x10	Enterprise corridor		
tos2x10	Enterprise sickbay		
tos2x10	Enterprise main phaser power control		
tos2x10	Enterprise turbolift		
tos2x10	Enterprise Kirk's quarters		
tos2x10	Enterprise brig		
tos2x10	Enterprise engineering		
tos2x10	Enterprise Spock's quarters		
tos2x10	Enterprise Jefferies tube		
tos2x11	settlement		
tos2x11	building entrance		
tos2x11	Enterprise sickbay		
tos2x11	Enterprise briefing room		
tos2x11	Enterprise bridge		
tos2x11	Enterprise Kirk's quarters		
tos2x11	Enterprise McCoy's office		
tos2x11	Enterprise corridor		
tos2x11	Enterprise bio-lab		
tos2x12	Enterprise corridor		
tos2x12	Enterprise auxiliary control		
tos2x12	Enterprise bridge		
tos2x12	Enterprise engineering		
tos2x12	cavern		
tos2x12	throne room		
tos2x12	living area		
tos2x12	Planet Mudd computer room		
tos2x12	science lab		
tos2x13	Enterprise briefing room		
tos2x13	Enterprise bridge		
tos2x13	Deep Space Station K-7 office		
tos2x13	Deep Space Station K-7 bar		
tos2x13	Enterprise recreation room		
tos2x13	Enterprise corridor		
tos2x13	Enterprise sickbay		
tos2x13	Enterprise transporter room		
tos2x13	Deep Space Station storage room		
tos2x14	Enterprise bridge		
tos2x14	hillside		
tos2x14	cavern entrance		
tos2x14	cavern		
tos2x14	countryside		
tos2x14	jail cell		
tos2x14	Roman style chamber		
tos2x14	arena		
tos2x15	Enterprise Kirk's quarters		
tos2x15	Enterprise corridor		
tos2x15	Enterprise hangar deck		
tos2x15	Enterprise engineering		
tos2x15	Enterprise reception room		
tos2x15	Enterprise bridge		
tos2x15	Enterprise Sarek's quarters		
tos2x15	Enterprise sickbay		
tos2x15	Enterprise McCoy's office		
tos2x15	Enterprise brig		
tos2x15	Enterprise Spock's quarters		
tos2x16	countryside		
tos2x16	rocky outcrop		
tos2x16	Enterprise transporter room		
tos2x16	Enterprise bridge		
tos2x16	Enterprise sickbay		
tos2x16	tented encampment		
tos2x16	cavern		
tos2x16	mountainside		
tos2x16	medieval village		
tos2x16	building entrance		
tos2x16	forge		
tos2x17	Enterprise bridge		
tos2x17	Enterprise transporter room		
tos2x17	arena		
tos2x17	holding cell		
tos2x17	ancient ruins		
tos2x17	cavern		
tos2x18	rocky landscape		
tos2x18	Enterprise McCoy's office		
tos2x18	Enterprise bridge		
tos2x18	Enterprise briefing room		
tos2x18	Enterprise Kirk's quarters		
tos2x18	Enterprise Garrovick's quarters		
tos2x18	Enterprise corridor		
tos2x18	Enterprise transporter room		
tos2x19	Enterprise bridge		
tos2x19	Enterprise sickbay		
tos2x19	Enterprise engineering		
tos2x19	Enterprise McCoy's office		
tos2x19	Enterprise briefing room		
tos2x19	Enterprise bio-lab		
tos2x19	Enterprise Kirk's quarters		
tos2x19	Enterprise corridor		
tos2x19	shuttlecraft		
tos2x20	Enterprise bridge		
tos2x20	Enterprise turbolift		
tos2x20	Enterprise transporter room		
tos2x20	American 1920s era city street		
tos2x20	office		
tos2x20	warehouse		
tos2x20	American 1920s era alleyway		
tos2x20	radio station		
tos2x20	boarding room		
tos2x21	alien landscape		
tos2x21	Enterprise bridge		
tos2x21	Enterprise life support		
tos2x21	Enterprise engineering		
tos2x21	cavern		holding cell
tos2x21	Enterprise sickbay		
tos2x21	Enterprise medical lab		
tos2x21	Enterprise corridor		
tos2x21	Enterprise turbolift		
tos2x21	Enterprise recreation room		
tos2x21	Enterprise Scotty's quarters		
tos2x21	Enterprise Kelinda's quarters		
tos2x22	Enterprise bridge		
tos2x22	Enterprise transporter room		
tos2x22	subterranean chamber		
tos2x22	Enterprise briefing room		
tos2x22	Enterprise sickbay		
tos2x22	Enterprise pharmacy		
tos2x22	Enterprise bio-lab		
tos2x22	Enterprise McCoy's office		
tos2x23	Enterprise bridge		
tos2x23	Enterprise transporter room		
tos2x23	German 1930s city street		
tos2x23	building entrance		
tos2x23	interrogation room		
tos2x23	jail cell		
tos2x23	corridor		
tos2x23	laboratory		
tos2x23	cavern hideout		
tos2x23	cloakroom		
tos2x23	broadcast booth		
tos2x23	reception room		
tos2x23	hallway		
tos2x23	sewer		
tos2x24	Enterprise bridge		
tos2x24	Enterprise transporter room		
tos2x24	Enterprise turbolift		
tos2x24	Enterprise corridor		
tos2x24	Enterprise engineering		
tos2x24	Enterprise Kirk's quarters		
tos2x24	Enterprise briefing room		
tos2x24	Enterprise Jefferies tube		
tos2x24	Lexington bridge		
tos2x24	Enterprise sickbay		
tos2x25	Enterprise bridge		
tos2x25	Enterprise transporter room		
tos2x25	Exeter engineering		
tos2x25	Enterprise corridor		
tos2x25	Exeter bridge		
tos2x25	medieval village		
tos2x25	forge		
tos2x25	storage room		
tos2x25	meeting hall		
tos2x26	Enterprise bridge		
tos2x26	Enterprise transporter room		
tos2x26	Enterprise McCoy's office		
tos2x26	Enterprise briefing room		
tos2x26	Enterprise brig		
tos2x26	upscale 1960s era office		
tos2x26	American 1960s era city street		
tos2x26	military base		
tos2x26	rocket gantry		
tos2x26	launch control room		
tos2x26	check point		
tos3x01	Enterprise bridge		
tos3x01	Wild West town street		
tos3x01	saloon		
tos3x01	Wild West doctor's office		
tos3x01	impenetrable fog		
tos3x01	sheriff's office		
tos3x01	corral		
tos3x02	Enterprise Uhura's quarters		
tos3x02	Enterprise engineering		
tos3x02	Enterprise sickbay		
tos3x02	Enterprise bridge		
tos3x02	Enterprise turbolift		
tos3x02	Enterprise corridor		
tos3x02	Enterprise medical lab		
tos3x03	wigwam		
tos3x03	Enterprise bridge		
tos3x03	Enterprise engineering		
tos3x03	woodland		
tos3x03	obelisk control room		
tos3x03	obelisk exterior		
tos3x03	tepee encampment		
tos3x04	Enterprise bridge		
tos3x04	Enterprise briefing room		
tos3x04	Enterprise transporter room		
tos3x04	Romulan vessel ready room		
tos3x04	Romulan vessel security room		
tos3x04	Enterprise sickbay		
tos3x04	Romulan vessel corridor		
tos3x04	Romulan vessel captain's quarters		
tos3x04	Romulan vessel bridge		
tos3x04	Enterprise engineering		
tos3x04	Enterprise turbolift		
tos3x05	rocky wasteland		
tos3x05	cavern		
tos3x05	Enterprise arboretum		
tos3x05	Enterprise bridge		
tos3x05	Enterprise Kirk's quarters		
tos3x05	Enterprise engineering		
tos3x05	Enterprise transporter room		
tos3x05	Enterprise corridor		
tos3x05	Enterprise auxiliary control		
tos3x06	Enterprise bridge		
tos3x06	snowy landscape		
tos3x06	cavern		
tos3x06	subterranean complex		
tos3x06	detention cell		
tos3x06	control room		
tos3x07	Enterprise transporter room		
tos3x07	Enterprise corridor		
tos3x07	Enterprise Kollos' quarters		
tos3x07	Enterprise reception room		
tos3x07	Enterprise turbolift		
tos3x07	Enterprise auxiliary control		
tos3x07	Enterprise bridge		
tos3x07	Enterprise arboretum		
tos3x07	Enterprise sickbay		
tos3x08	alien lab		
tos3x08	cavern		
tos3x08	rocky landscape		
tos3x08	research facility		
tos3x08	torture chamber		
tos3x08	cavern entrance		
tos3x08	Enterprise bridge		
tos3x08	xeric scrubland		
tos3x09	Enterprise bridge		
tos3x09	Enterprise transporter room		
tos3x09	Defiant bridge		
tos3x09	Defiant engineering		
tos3x09	Defiant sickbay		
tos3x09	Enterprise medical lab		
tos3x09	Enterprise sickbay		
tos3x09	Enterprise auxiliary control		
tos3x09	Enterprise memorial service room		
tos3x09	Enterprise Kirk's quarters		
tos3x09	Enterprise Uhura's quarters		
tos3x10	Enterprise bridge		
tos3x10	Enterprise sickbay		
tos3x10	Enterprise transporter room		
tos3x10	rocky wasteland		
tos3x10	oracle chamber		
tos3x10	antechamber		
tos3x11	rocky wasteland		
tos3x11	Enterprise bridge		
tos3x11	Enterprise transporter room		
tos3x11	Enterprise corridor		
tos3x11	Enterprise turbolift		
tos3x11	Enterprise auxiliary control		
tos3x11	Enterprise Klingon quarters		
tos3x11	Enterprise sickbay		
tos3x11	Enterprise armory		
tos3x12	Enterprise bridge		
tos3x12	courtyard		
tos3x12	throne room		
tos3x12	palace chamber		
tos3x12	theater		
tos3x13	Enterprise bridge		
tos3x13	futuristic cityscape		
tos3x13	Enterprise sickbay		
tos3x13	Enterprise corridor		
tos3x13	Enterprise environmental engineering		
tos3x13	Enterprise medical lab		
tos3x13	Enterprise transporter room		
tos3x13	Enterprise Kirk's quarters		
tos3x14	Enterprise bridge		
tos3x14	Enterprise transporter room		
tos3x14	alien landscape		
tos3x14	Enterprise sickbay		
tos3x14	Enterprise auxiliary control		
tos3x14	Enterprise Jefferies tube		
tos3x14	Enterprise engineering		
tos3x14	subterranean chamber		
tos3x15	Enterprise bridge		
tos3x15	Enterprise hangar deck		
tos3x15	Enterprise turbolift		
tos3x15	Enterprise corridor		
tos3x15	Enterprise sickbay		
tos3x15	Enterprise auxiliary control		
tos3x15	Enterprise recreation room		
tos3x15	Enterprise transporter room		
tos3x16	holding cell		
tos3x16	prison aisle		
tos3x16	Elba II control room		
tos3x16	Enterprise bridge		
tos3x16	banquet room		
tos3x16	bedroom		
tos3x16	throne room		
tos3x16	rocky landscape		
tos3x17	council chamber		
tos3x17	Enterprise corridor		
tos3x17	Enterprise bridge		
tos3x17	Enterprise transporter room		
tos3x17	Enterprise engineering		
tos3x17	Enterprise sickbay		
tos3x17	Enterprise recreation room		
tos3x17	bedroom		
tos3x18	Enterprise bridge		
tos3x18	Enterprise briefing room		
tos3x18	Enterprise auxiliary control		
tos3x18	Enterprise sickbay		
tos3x18	Memory Alpha control room		
tos3x18	Enterprise transporter room		
tos3x18	Enterprise corridor		
tos3x18	Enterprise medical lab		
tos3x19	Enterprise bridge		
tos3x19	cavern entrance		
tos3x19	cavern		
tos3x19	rocky wasteland		
tos3x19	council chamber		
tos3x19	art gallery		
tos3x19	Ardana Kirk's quarters		
tos3x19	Enterprise transporter room		
tos3x19	holding cell		
tos3x19	torture chamber		
tos3x20	Enterprise bridge		
tos3x20	Enterprise auxiliary control		
tos3x20	Enterprise hangar deck		
tos3x20	Enterprise transporter room		
tos3x20	Enterprise sickbay		
tos3x20	Enterprise recreation room		
tos3x20	Enterprise brig		
tos3x20	Enterprise Spock's quarters		
tos3x20	Enterprise corridor		
tos3x20	woodland		
tos3x21	Enterprise bridge		
tos3x21	xeric scrubland		
tos3x21	Flint's drawing room		
tos3x21	laboratory		
tos3x21	Enterprise Kirk's quarters		
tos3x22	Enterprise bridge		
tos3x22	Enterprise transporter room		
tos3x22	rocky landscape		
tos3x22	Enterprise briefing room		
tos3x23	futuristic library		
tos3x23	English 17th century era city street		
tos3x23	cavern		
tos3x23	English 17th century era jail cell		
tos3x23	frozen wasteland		
tos3x23	cliff face		
tos3x24	Enterprise bridge		
tos3x24	Enterprise sickbay		
tos3x24	Enterprise corridor		
tos3x24	Enterprise brig		
tos3x24	Enterprise transporter room		
tos3x24	Enterprise Kirk's quarters		
tos3x24	Enterprise McCoy's office		
tos3x24	Enterprise courtroom		
tos3x24	Enterprise medical lab		
tos3x24	subterranean chamber		
tas1x01	Enterprise bridge		
tas1x01	Enterprise transporter room		
tas1x01	Ancient Inscetoid spaceship exterior		
tas1x01	Ancient Insectoid spaceship control room		
tas1x02	Enterprise transporter room		
tas1x02	Enterprise briefing room		
tas1x02	desert landscape		
tas1x02	Sarek's living room		
tas1x02	courtyard		
tas1x02	bedroom		
tas1x02	rocky wasteland		
tas1x02	ancient ruins		
tas1x03	Enterprise bridge		
tas1x03	Enterprise engineering		
tas1x03	Enterprise Kirk's quarters		
tas1x03	Enterprise transporter room		
tas1x04	Enterprise bridge		
tas1x04	Enterprise McCoy's office		
tas1x04	temple		
tas1x04	slumber chamber		
tas1x04	Enterprise sickbay		
tas1x04	Enterprise transporter room		
tas1x04	garden		
tas1x04	urn interior		
tas1x05	Enterprise bridge		
tas1x05	Enterprise transporter room		
tas1x05	Enterprise medical lab		
tas1x05	Klingon vessel bridge		
tas1x05	Enterprise corridor		
tas1x06	Enterprise transporter room		
tas1x06	Enterprise briefing room		
tas1x06	Enterprise sickbay		
tas1x06	Enterprise Kirk's quarters		
tas1x06	Enterprise bridge		
tas1x06	Enterprise turbolift		
tas1x06	Enterprise McCoy's office		
tas1x06	Enterprise corridor		
tas1x06	Enterprise medical lab		
tas1x06	Enterprise engineering		
tas1x07	alien landscape		
tas1x07	building entrance		
tas1x07	Enterprise bridge		
tas1x07	Enterprise engineering		
tas1x07	Enterprise transporter room		
tas1x07	launch complex		
tas1x07	tunnel		
tas1x07	control room		
tas1x07	alien lab		
tas1x08	Enterprise bridge		
tas1x08	Enterprise engineering		
tas1x08	woodland glade		
tas1x08	Enterprise Spock's quarters		
tas1x08	New England 18th century era town		
tas1x08	netherworld		
tas1x08	futuristic cityscape		
tas1x09	countryside		
tas1x09	woodland		
tas1x09	Enterprise transporter room		
tas1x09	Enterprise bridge		
tas1x09	control room		
tas1x09	cavern		
tas1x09	Enterprise engineering		
tas1x09	Amusement Planet computer room		
tas1x09	Enterprise shuttle bay		
tas1x09	cavern entrance		
tas1x10	Enterprise bridge		
tas1x10	Enterprise transporter room		
tas1x10	Enterprise brig		
tas1x10	Enterprise corridor		
tas1x10	Enterprise Spock's quarters		
tas1x10	Enterprise shuttle bay		
tas1x10	Enterprise recreation room		
tas1x10	rocky wasteland		
tas1x10	outdoor stage		
tas1x11	Enterprise bridge		
tas1x11	Enterprise engineering		
tas1x11	Enterprise medical lab		
tas1x11	Enterprise sickbay		
tas1x11	volcanic wasteland		
tas1x11	futuristic cityscape		
tas1x11	Enterprise transporter room		
tas1x11	volcanic wasteland		
tas1x12	Enterprise bridge		
tas1x12	Klingon vessel bridge		
tas1x12	council chamber		
tas1x12	Enterprise briefing room		
tas1x12	Klingon vessel briefing room		
tas1x12	Enterprise recreation room		
tas1x13	shuttlecraft		
tas1x13	Enterprise bridge		
tas1x13	rocky wasteland		
tas1x13	open ocean		
tas1x13	aquarium		
tas1x13	sea floor		
tas1x13	council chamber		
tas1x13	sunken ruins		
tas1x13	shoreline		
tas1x13	cavern		
tas1x14	shuttlecraft		
tas1x14	frozen wasteland		
tas1x14	holding cell		
tas1x14	cavern		
tas1x15	Enterprise briefing room		
tas1x15	Enterprise transporter room		
tas1x15	desert landscape		
tas1x15	woodland glade		
tas1x15	futuristic cityscape		
tas1x15	alien house		
tas1x15	Enterprise bridge		
tas1x15	shoreline		
tas1x15	futuristic zoo		
tas1x15	display cage		
tas1x16	Enterprise transporter room		
tas1x16	woodland glade		
tas1x16	volcanic wasteland		
tas1x16	temple		
tas1x16	frozen wasteland		
tas2x01	Enterprise bridge		
tas2x01	Enterprise sickbay		
tas2x01	Enterprise briefing room		
tas2x01	Huron bridge		
tas2x01	Huron cargo bay		
tas2x01	Enterprise McCoy's office		
tas2x01	Orion vessel bridge		
tas2x01	alien landscape		
tas2x01	Enterprise transporter room		
tas2x02	Enterprise briefing room		
tas2x02	Enterprise transporter room		
tas2x02	jungle clearing		
tas2x02	stone age village		
tas2x03	Enterprise bridge		
tas2x03	Enterprise engineering		
tas2x03	Enterprise officer's mess		
tas2x03	Enterprise corridor		
tas2x03	Enterprise recreation room		
tas2x03	Enterprise computer room		
tas2x03	Romulan vessel bridge		
tas2x03	Enterprise holodeck		woodland glade; lakeshore; frozen wasteland; hedge maze
tas2x03	woodland glade		
tas2x03	shoreline		
tas2x03	frozen wasteland		
tas2x03	hedge maze		
tas2x04	futuristic cityscape		
tas2x04	Enterprise bridge		
tas2x04	hall of justice		
tas2x04	holding cell		
tas2x04	Enterprise engineering		
tas2x04	Enterprise transporter room		
tas2x04	cavern entrance		
tas2x04	cavern		
tas2x04	Enterprise sickbay		
tas2x04	ancient ruins		
tas2x05	Enterprise bridge		
tas2x05	Enterprise McCoy's office		
tas2x05	Enterprise sickbay		
tas2x05	blue void		
tas2x05	ancient ruins		
tas2x05	Aztec temple		
tas2x05	alien lab		
tas2x05	jungle clearing		
tas2x06	Enterprise bridge		
tas2x06	Enterprise engineering		
tas2x06	Enterprise briefing room		
tas2x06	Enterprise transporter room		
tas2x06	alien lab		
tng1x01	Enterprise-D engineering		
tng1x01	Enterprise-D bridge		
tng1x01	Enterprise-D corridor		
tng1x01	Enterprise-D battle bridge		
tng1x01	courtroom		
tng1x01	chamber		
tng1x01	xeric scrubland		
tng1x01	town square		
tng1x01	Enterprise-D transporter room		
tng1x01	Enterprise-D ready room		
tng1x01	Enterprise-D observation lounge		
tng1x01	Enterprise-D sickbay		
tng1x01	Enterprise-D turbolift		
tng1x01	chamber		
tng1x01	Enterprise-D holodeck		woodland
tng1x01	woodland		
tng1x01	underground tunnel		
tng1x01	Enterprise-D Beverly's office		
tng1x01	Space Jellyfish corridor		
tng1x01	Enterprise-D holodeck		
tng1x03	Enterprise-D bridge		
tng1x03	Enterprise-D transporter room		
